algorithm,run,best_true,best_x1,best_x2,feasible,evals
ARSA,25,-0.6801483227622938,0.8210131848073509,0.5709092312903081,True,2000
SA,26,-0.7328555210864345,0.8432857235229121,0.520364570366993,True,2000
GA,26,-0.7348597378663092,0.8379650364525271,0.5252039171447993,True,2000
ARSA,26,-0.7288285689571102,0.8415010334751971,0.5402555049790564,True,2000
SA,27,-0.7313832538978235,0.8324481286048687,0.5129883903441369,True,2000
GA,27,-0.7348839357223037,0.8376430511848074,0.5251421891046792,True,2000
ARSA,27,-0.7298157923957471,0.8440409909383876,0.5362786641436939,True,2000
SA,28,-0.734097381984979,0.8358636554224893,0.5181320933454224,True,2000
GA,28,-0.7349136980704167,0.837221287474088,0.5245555417569305,True,2000
ARSA,28,-0.7298184237780956,0.8456102989790287,0.5338007327276703,True,2000
SA,29,-0.7334984749519377,0.8314641621146559,0.5251977972456227,True,2000
GA,29,-0.7348980754668031,0.836397630921949,0.5243694198302943,True,2000
ARSA,29,-0.7298446972265151,0.8454055651903035,0.5341249201687404,True,2000
SA,30,-0.7259999075946069,0.8383891765689186,0.5450720948756145,True,2000
GA,30,-0.7349105344607509,0.8367775208164483,0.5237843587594488,True,2000
ARSA,30,-0.729874967279682,0.8447489787949287,0.5351627442422774,True,2000
SA,31,-0.7298705534948088,0.8450673486234245,0.5346598697214664,True,2000
GA,31,-0.7349017663062327,0.8373427681142137,0.5249717172698048,True,2000
ARSA,31,-0.7288606277729193,0.8480870619135779,0.529856900884376,True,2000
SA,32,-0.7298420752919144,0.845429184966873,0.5340875332810612,True,2000
GA,32,-0.7349103954024723,0.8373303262427962,0.5238033634933028,True,2000
ARSA,32,-0.729764467698248,0.8459149317254822,0.5333178492080243,True,2000
SA,33,-0.7316696404736798,0.8312199989131303,0.5333854373844342,True,2000
GA,33,-0.7347335232872225,0.8386765534742122,0.5224506066078833,True,2000
ARSA,33,-0.7298705443365856,0.8450675558198619,0.5346595422328536,True,2000
SA,34,-0.7300657336846388,0.8313833106713346,0.5371295007020693,True,2000
GA,34,-0.7349090690316877,0.8370576312979751,0.5235715952861899,True,2000
ARSA,34,-0.7337384739791653,0.8334926935637258,0.5296659366533586,True,2000
SA,35,-0.6074078439803544,0.806242651216097,0.591584978984456,True,2000
GA,35,-0.7348927230734132,0.8374667142204979,0.5251210356408044,True,2000
ARSA,35,-0.7328540899061013,0.8419939455321721,0.5174092145332797,True,2000
SA,36,-0.7298514700002102,0.8453394432331897,0.5342295627482634,True,2000
GA,36,-0.7349102756294204,0.8371757518605635,0.5236519255889197,True,2000
ARSA,36,-0.726772275104133,0.8505027130667369,0.5259706598909486,True,2000
SA,37,-0.7316290782824175,0.8380805043842576,0.5368232882049242,True,2000
GA,37,-0.7348888377840617,0.8376176551357759,0.5233906950103632,True,2000
ARSA,37,-0.7298715417181534,0.8450437829994544,0.5346971150230483,True,2000
SA,38,-0.7301234358457784,0.8432040562304266,0.5366324634982803,True,2000
GA,38,-0.7348821032075012,0.8374984401127235,0.5253460666689249,True,2000
ARSA,38,-0.7209112750426917,0.8544199292735144,0.5195830871576199,True,2000
SA,39,-0.7296062376709646,0.8465143373483297,0.5323659236500009,True,2000
GA,39,-0.73490620219646,0.8373676843557296,0.5247833023529773,True,2000
ARSA,39,-0.7297667718954318,0.8459037060390475,0.5333356542641836,True,2000
SA,40,-0.7348063113731709,0.837273339479187,0.5265187922850629,True,2000
GA,40,-0.7348996865755789,0.8372289208567929,0.5251048300502545,True,2000
ARSA,40,-0.7300833188361643,0.8440557660016799,0.5129781525365685,True,2000
SA,41,-0.7345705453811607,0.835863951601799,0.5279293700966322,True,2000
GA,41,-0.7348556562187617,0.8370817539066677,0.5224766481684526,True,2000
ARSA,41,-0.728872076135114,0.8415713888824451,0.5401459038208771,True,2000
SA,42,-0.7298286017561981,0.8291233962391708,0.5137041915641345,True,2000
GA,42,-0.7348729952829505,0.837304260056526,0.5256368717969908,True,2000
ARSA,42,-0.7295846064562604,0.8465802710720218,0.5322610681156588,True,2000
SA,43,-0.7343430398986477,0.8404303086915241,0.5225272748595987,True,2000
GA,43,-0.7349062216547639,0.8367018153234331,0.5236709191088764,True,2000
ARSA,43,-0.7316686734006524,0.8439178633395574,0.5317704297660502,True,2000
SA,44,-0.7311510980187014,0.8282328861414738,0.5205317191841687,True,2000
GA,44,-0.7348778259661723,0.8367145363475853,0.5255110232026149,True,2000
ARSA,44,-0.7298465186443319,0.8442812516217404,0.5359003341667438,True,2000
SA,45,-0.7314471473391329,0.8457611840922913,0.5225379269211045,True,2000
GA,45,-0.7348997019617242,0.8372081842148784,0.5251129888863935,True,2000
ARSA,45,-0.7296374063852902,0.8464144631701034,0.5325247004003342,True,2000
SA,46,-0.7294388308571739,0.846971848802997,0.5316377406987141,True,2000
GA,46,-0.7349123725771162,0.8372321281474207,0.5237969252876118,True,2000
ARSA,46,-0.7298581306768972,0.8452645693644352,0.5343480212157204,True,2000
SA,47,-0.7319920571876753,0.8309581682119833,0.5163680882868737,True,2000
GA,47,-0.7348265988436881,0.8361284382640131,0.5258152187123353,True,2000
ARSA,47,-0.733880759694597,0.8356037414515964,0.5309928927736921,True,2000
SA,48,-0.7299785408794943,0.8370845813431401,0.5397769714142407,True,2000
GA,48,-0.73491568494487,0.8372269931346678,0.524087267705966,True,2000
ARSA,48,-0.7279396093044873,0.8493187141233458,0.5278804048644599,True,2000
SA,49,-0.7298729395541964,0.844665676404703,0.5352942135907932,True,2000
GA,49,-0.7349124137093034,0.8367389941450364,0.5240075078909094,True,2000
